科號,課程中文名稱,課程英文名稱,學分數,人限,新生保留人數,通識對象,通識類別,授課語言,備註,停開註記,教室與上課時間,授課教師,擋修說明,課程限制說明,第一二專長對應,學分學程對應,不可加簽說明,必選修說明
11110LSMC600200,論文研究,Thesis,0,,0, ,,中,限分生所碩二以上同學，Selectable after successfully completing first year's coursework,,,"指導教授	
",,排除碩士班1年級,,,,分生所111M  必修	
11110LSMC634800,酵素結構與催化機制,Enzyme Structures and Mechanisms,2,,0, ,,英,建議須修過生物化學一或生物化學二課程為宜,,"LS II生二220	T3T4
","王雯靜	WANG, WEN-CHING
",,,,,,分生所111D  選修	分生所111M  選修	
11110LSMC642100,高等分子生物學,Advanced Molecular Biology,3,,0, ,,中, ,,"LS II生二217	F2F3F4
","李佳霖	LEE, JIA-LIN
張壯榮	CHANG, CHUANG-RUNG
王群超	WANG, CHUN-CHAO
",,,,,,分生所111D  選修	分生所111M  選修	
11110LSMC644200,親緣演化原理與分析,Principle and Analysis of Phylogenetics,3,0,0, ,,中,需與授課教師討論後加簽選課，最好先修過演化生物學,,"LS I生一323A	T7T8T9
","郭立園	KUO, LI-YAUNG
",,,,,,分生所111D  選修	分生所111M  選修	
11110LSMC700200,論文研究,Thesis,0,,0, ,,中,限分生所博二以上同學，Selectable after successfully completing first year's coursework,,,"指導教授	
",,排除博士班1年級,,,,分生所111D  必修	
11110LSMC790101,書報討論,Seminar,1,10,0, ,,英, ,,"LS II生二218	F5
","王慧菁	WANG, HUI-CHING
",,"限生科院,博士班",,,,分生所111D  必修	
11110LSMC790300,專題討論,Colloquium,1,10,0, ,,英, ,,"LS II生二 626	R3R4
","傅化文	FU, HUA-WEN
",,"限生科院,博士班",,,,分生所111D  必修	
11110LSMM514400,粒線體特論一,Special Topics on Mitochondria I,2,0,0, ,,中,需與授課教師討論後加簽選課,,"LS II生二 213	F7F8
","高茂傑	KAO, MOU-CHIEH
",,,,,,分醫所111D  選修	分醫所111M  選修	
11110LSMM524300,細胞分化與凋亡特論一,Special Topics in Cell Differentiation and Death I,2,0,0, ,,中,需與授課教師討論後加簽選課,,"LS II生二 105	F7F8
","陳令儀	CHEN, LINYI
",,,,,,分醫所111D  選修	分醫所111M  選修	
11110LSMM525600,初級纖毛特論二,Special Topics on Primary Cilia II,2,0,0, ,,中,需與授課教師討論後加簽選課,,"LS II生二217	F8F9
","林玉俊	LIN, YU-CHUN
",,,,,,分醫所111D  選修	分醫所111M  選修	
11110LSMM527900,細胞訊息特論一,Special Topics in Cell Signaling I,2,0,0, ,,中,需與授課教師討論後加簽選課,,"LS I生一521A	R8R9
","王群超	WANG, CHUN-CHAO
",,,,,,分醫所111D  選修	分醫所111M  選修	
11110LSMM528300,細胞核膜特論一,Special Topics in Nuclear Envelope I,2,0,0, ,,英,需與授課教師討論後加簽選課Requiring application in order to enroll in the course.授課教師：李以如,,"LS II生二207	W3W4
","聘任中	
",,,,,,分醫所111D  選修	分醫所111M  選修	
11110LSMM528500,胞器蛋白質恆定特論一,Special Topics in Organelle Proteostasis I,2,0,0, ,,英,需與授課教師討論後加簽選課Requiring application in order to enroll in the course.,,"LS II生二207	F5F6
","廖品超	LIAO, PIN-CHAO
",,,,,,分醫所111D  選修	分醫所111M  選修	
11110LSMM544400,訊息傳遞特論一,Special Topics in Molecular Mechanism of Signal Transduction I,2,0,0, ,,中,需與授課教師討論後加簽選課,,"LS I生一521A	M1M2
","徐瑞洲	HSU, JUI-CHOU
",,,,,,分醫所111D  選修	分醫所111M  選修	
11110LSMM574100,轉譯基因體醫學與精準醫療,Translational Genomics and Precision Medicine,2,60,0, ,,中,建議曾經修習過分子生物學和癌症生物學者為佳,,"LS II生二 109	M7M8
","蔡世&#23791;	TSAI, SHIH-FENG
",,,,(跨領域)醫學科技學分學程,,分醫所111D  選修	分醫所111M  選修	
11110LSMM577100,基因編輯技術於疾病研究之運用,Application of Genome Editing Technology for Disease,2,,0, ,,中,授課教師：陳韋靜,,"LS II生二206	T3T4
","聘任中	
",,,,,,分醫所111D  選修	分醫所111M  選修	
11110LSMM577300,子宮內膜異位症特論一,Special Topics in Endometriosis I,2,0,0, ,,英,需與授課教師討論後加簽選課Requiring application in order to enroll in the course.,,"LS II生二206	F3F4
","周雅菁	YA-CHING CHOU
",,,,,,分醫所111D  選修	分醫所111M  選修	
11110LSMM590101,書報討論,Seminar,1,13,0, ,,中, ,,"LS II生二217	W5
","林玉俊	LIN, YU-CHUN
",,"限生科院,碩士班",,,,分醫所111M  必修	
11110LSMM590102,書報討論,Seminar,1,13,0, ,,中, ,,"LS II生二 107	W5
","高茂傑	KAO, MOU-CHIEH
",,"限生科院,碩士班",,,,分醫所111M  必修	
11110LSMM590300,專題討論,Colloquium,1,40,0, ,,英, ,,"LS II生二217	R3R4
","王群超	WANG, CHUN-CHAO
",,"限生科院,碩士班",,,,分醫所111M  必修	
11110LSMM600200,論文研究,Thesis,0,,0, ,,中,限分醫所碩二以上同學，Selectable after successfully completing first year's coursework,,,"指導教授	
",,排除碩士班1年級,,,,分醫所111M  必修	
11110LSMM624700,高等細胞生物學,Advanced Cell Biology,3,,0, ,,中,Only Dr. Wanger's part offered in English,,"LS II生二217	R6R7R8
","王歐力	Wang Ou-Li
桑自剛	SANG, TZU-KANG
傅化文	FU, HUA-WEN
林玉俊	LIN, YU-CHUN
邱于芯	CHIU, YU-HSIN
廖品超	LIAO, PIN-CHAO
",,,,,,分醫所111D  選修	分醫所111M  選修	
11110LSMM700200,論文研究,Thesis,0,,0, ,,中,限分醫所博二以上同學，Selectable after successfully completing first year's coursework,,,"指導教授	
",,排除博士班1年級,,,,分醫所111D  必修	
11110LSMM790101,書報討論,Seminar,1,10,0, ,,英, ,,"LS II生二206	F5
","周雅菁	YA-CHING CHOU
",,"限生科院,博士班",,,,分醫所111D  必修	
11110LSMM790300,專題討論,Colloquium,1,10,0, ,,英, ,,"LS II生二207	R3R4
","張晃猷	CHANG, HWAN-YOU
高為元	KAO, WEIYUAN JOHN
",,"限生科院,博士班",,,,分醫所111D  必修	
11110LSSN504400,學習記憶神經科學-研究計畫寫作,Neuroscience of Learning and Memory: Research Proposal Writing,1,0,0, ,,中,"需同時選修「學習記憶神經科學」,需與授課教師討論後加簽選課,上課時間為後1/3學期(12/9~1/13)F34n",,"LS II生二218	FaFbFc
","張鈞惠	CHANG, CHUN-HUI
",,,,,,系神所111D  選修	系神所111M  選修	
11110LSSN510100,理論神經科學特論一,Special Topics on Theoretical Neuroscience I,2,0,0, ,,中,需與授課教師討論後加簽選課,,"LS II生二206	TnT5
","羅中泉	LO, CHUNG-CHUAN
",,,,,,系神所111D  選修	系神所111M  選修	
11110LSSN510900,神經傳導與精神分析特論一,Special Topics on Neurotransmission and Psychoanalysis I,2,0,0, ,,英,需與授課教師討論後加簽選課Requiring application in order to enroll in the course.,,"LS I生一421A	F5F6
","張慧雲	CHANG, HUI-YUN
",,,,,,系神所111D  選修	系神所111M  選修	
11110LSSN514200,神經體研究專題一,Special Topics in Connectomics I,2,0,0, ,,中, ,,"LS I生一112	F7F8
","桑自剛	SANG, TZU-KANG
羅中泉	LO, CHUNG-CHUAN
",,,,,,系神所111D  選修	系神所111M  選修	
11110LSSN515100,行為神經科學特論一,Special Topics in Behavioral Neuroscience I,2,0,0, ,,中,需與授課教師討論後加簽選課,,"LS II生二218	MaMb
","張鈞惠	CHANG, CHUN-HUI
",,,,,,系神所111D  選修	系神所111M  選修	
11110LSSN515300,動物行為特論一,Special Topics on Animal Behavior I,2,0,0, ,,英,需與授課教師討論後加簽選課Requiring application in order to enroll in the course.,,"LS I生一521A	WaWb
","郭崇涵	KUO, TSUNG-HAN
",,,,,,系神所111D  選修	系神所111M  選修	
11110LSSN515600,學習記憶神經科學,Neuroscience of Learning and Memory,2,10,0, ,,中,上課時間為前三分之二學期(9/16~12/2),,"LS II生二218	F3F4Fn
","張鈞惠	CHANG, CHUN-HUI
",,,,(跨領域)神經科學學分學程,,系神所111D  選修	系神所111M  選修	
11110LSSN565100,腦神經網路體專題討論,Special Topics on Connectome,1,,0, ,,中, ,,"LS I生一112	W7
","陳俊朝	CHEN, CHUN-CHAO
江安世	CHIANG, ANN-SHYN
",,,,,,系神所111D  選修	系神所111M  選修	
11110LSSN575300,神經網路與行為,Neural Circuit and Behavior,2,,0, ,,中, ,,"LS I生一112	T5T6
","陳俊朝	CHEN, CHUN-CHAO
江安世	CHIANG, ANN-SHYN
",,,,,,系神所111D  選修	系神所111M  選修	
11110LSSN590101,書報討論,Seminar,1,13,0, ,,英, ,,"LS II生二 105	W5
","張慧雲	CHANG, HUI-YUN
",,"限生科院,碩士班",,,,系神所111M  必修	
11110LSSN590300,專題討論,Colloquium,1,40,0, ,,英, ,,"LS II生二 109	R3R4
","林郁婷	LIN, YU-TING
",,"限生科院,碩士班",,,,系神所111M  必修	
11110LSSN600200,論文研究,Thesis,0,,0, ,,中,限系神所碩二以上同學，Selectable after successfully completing first year's coursework,,,"指導教授	
",,排除碩士班1年級,,,,系神所111M  必修	
11110LSSN700200,論文研究,Thesis,0,,0, ,,中,限系神所博二以上同學，Selectable after successfully completing first year's coursework.,,,"指導教授	
",,排除博士班1年級,,,,系神所111D  必修	
11110LST 310301,行政法一,Administrative Law,3,30,0, ,,中,本課程為16週課程,,"TSMC台積121	M7M8M9
","陳仲嶙	CHEN, CHUNG-LIN
",,限科法所碩士班,,,,科法所111MA 必修	
11110LST 310302,行政法一,Administrative Law,3,50,0, ,,中, ,,"TSMC台積223	T2T3T4
","李怡俐	LEE, YI-LI
",,排除科法所,法律(第二專長)	法律(第一專長),(跨領域)法律學分學程,,科管院學士班108B  選修	科管院學士班109B  選修	
11110LST 310501,刑法總則,General provisions of criminal law,3,100,0, ,,中,本課程為16週課程,,"TSMC台積309	M2M3M4
","廖宜寧	LIAO, I-NING
",,科法所優先，第3次選課起開放全校修習,法律(第二專長)	法律(第一專長),(跨領域)法律學分學程,,科法所111MA 必修	科管院學士班109B  必修	
11110LST 320100,民法總則,General Provisions of Civil Law,4,80,20, ,,中,新生保留名額係保留予科法所新生,,"TSMC台積309	F3F4F5F6
","陳宛妤	CHEN,WAN-YU
",,科法所優先，第3次選課起開放全校修習,法律(第二專長)	法律(第一專長),(跨領域)法律學分學程,,科法所111MA 必修	科管院學士班110B  必修	
11110LST 321001,民事訴訟法一,Civil Procedure,3,50,0, ,,中,大學部同學先修科目C-以上被擋修請至課務組網頁下載申請表,,"TSMC台積121	TaTbTc
","王銘勇	WANG, MING-YUNG
","<div>
  擋修對象 : 全校 <br>
  先修科目 : <BR><BR>民法債編一-成績需B-以上<BR>民法物權-成績需B-以上<BR><br>上述條件一定要有，則不擋修。</div>",科法所優先，第3次選課起開放全校修習,法律(第二專長)	法律(第一專長),,,科法所111MA 必修	科管院學士班108B  選修	科管院學士班109B  選修	
11110LST 330101,憲法一,Constitutional Law,2,85,15, ,,中,新生保留名額係保留給科法所新生,,"MXIC旺宏253	T5T6
","黃忠正	HUANG, CHUNG-CHENG
",,科法所優先，第3次選課起開放全校修習,法律(第二專長)	法律(第一專長),(跨領域)法律學分學程,,科法所111MA 必修	科管院學士班110B  必修	
11110LST 330102,憲法一,Constitutional Law,2,50,0, ,,中, ,,"TSMC台積121	W5W6
","洪淳琦	HUNG, CHUN-CHI
",,科法所優先，第3次選課起開放全校修習,法律(第二專長)	法律(第一專長),(跨領域)法律學分學程,,科法所111MA 必修	科管院學士班110B  必修	
11110LST 350301,法學緒論,Introductory Study of Law,3,160,0,*3,社會科學領域 Elective GE course: Social Sciences,中,教室為暫定,,"GEN IV綜四224	T7T8T9
","黃忠正	HUANG, CHUNG-CHENG
",,"科管院,大學部優先，第3次選課起開放全校修習",經濟(第一專長),(跨領域)法律學分學程,,經濟系109BA 必修	經濟系109BB 必修	經濟系110BA 必修	經濟系110BB 必修	計財系109B  必修	計財系110B  必修	科管院學士班109B  必修	科管院學士班110B  必修	
11110LST 350302,法學緒論,Introductory Study of Law,3,120,0,*3,社會科學領域 Elective GE course: Social Sciences,中,教室為暫定,,"GEN IV綜四121	M7M8M9
","林昀嫺	LIN, YUN-HSIEN
",,"科管院,大學部優先，第3次選課起開放全校修習",經濟(第一專長),(跨領域)法律學分學程,,經濟系109BA 必修	經濟系109BB 必修	經濟系110BA 必修	經濟系110BB 必修	計財系109B  必修	計財系110B  必修	科管院學士班109B  必修	科管院學士班110B  必修	
11110LST 350500,民商法導論,Introduction to Civil & Commercial Law,3,100,0, ,,中, ,,"TSMC台積309	W2W3W4
","鍾元珧	CHUNG, YUAN-YAO
",,"科管院,大學部優先，第3次選課起開放全校修習",計量財務金融(第一專長),,,經濟系109BA 必修	經濟系109BB 必修	經濟系110BA 必修	經濟系110BB 必修	計財系109B  必修	計財系110B  必修	科管院學士班109B  必修	科管院學士班110B  必修	
11110LST 370100,國際公法,Public International Law,3,18,0, ,,中, ,,"TSMC台積835	W2W3W4
","黃居正	HUANG, CHU-CHENG
",,科法所優先，第3次選課起開放全校修習,法律(第二專長)	法律(第一專長),,,科法所111MA 必修	科管院學士班108B  選修	
11110LST 420300,民法債編二,General Provisions on Obligation II,3,50,0, ,,中,大學部同學先修科目C-以上被擋修請至課務組網頁下載申請表,,"TSMC台積223	M7M8M9
","陳乃瑜	CHEN,NAI-YU
","<div>
  擋修對象 : 全校 <br>
  先修科目 : <BR><BR>民法債編一-成績需B-以上<BR><br>上述條件一定要有，則不擋修。</div>","學士後法律,科法所優先，第3次選課起開放全校修習",法律(第二專長)	法律(第一專長),(跨領域)法律學分學程,,科法所111MA 必修	科管院學士班109B  必修	
11110LST 420600,商事法一,Business Law (I),2,30,0, ,,中,大學部同學先修科目C-以上被擋修請至課務組網頁下載申請表。本課程為16週課程,,"TSMC台積120	W7W8
","蔡昌憲	TSAI, CHANG-HSIEN
","<div>
  擋修對象 : 全校 <br>
  先修科目 : <BR><BR>民法債編一-成績需B-以上<BR><br>上述條件一定要有，則不擋修。</div>",科法所優先，第3次選課起開放全校修習,法律(第二專長)	法律(第一專長),(跨領域)法律學分學程,,科法所111MA 必修	科管院學士班108B  選修	
11110LST 460300,刑事訴訟法一,Criminal Procedure Law(1),2,50,0, ,,中,大學部同學先修科目C-以上被擋修請至課務組網頁下載申請表,,"TSMC台積121	M5M6
","連孟琦	LIEN, MENG-CHI
","<div>
  擋修對象 : 全校 <br>
  先修科目 : <BR><BR>刑法總則-成績需B-以上<BR><br>上述條件一定要有，則不擋修。</div>",科法所優先，第3次選課起開放全校修習,法律(第二專長)	法律(第一專長),,,科法所111MA 必修	科管院學士班108B  選修	
11110LST 500100,論文研究,Thesis,0,,0, ,,中,限科法所碩二以上同學修習,,,"指導教授	
",,排除科法所碩士班1年級,,,,科法所111MA 必修	科法所111MB 必修	
11110LST 500900,專題演講,Colloquium,1,50,0, ,,中, ,,"TSMC台積905	R5R6R7
","李紀寬	LI, GI-KUEN
高銘志	KAO, MING-CHIH
",,限科法所碩士班博士班,,,,科法所111MA 必修	科法所111MB 必修	
11110LST 501700,法學研究與寫作一,Legal Writing (I),1,50,0, ,,中,隔週上課,,"TSMC台積223	R3R4
","林昀嫺	LIN, YUN-HSIEN
",,限科法所碩士班博士班,,,,科法所111D  必修	科法所111MA 必修	科法所111MB 必修	
11110LST 502100,法學德文一,Legal German (I),2,16,6, ,,中,新生保留名額係保留給科法所新生,,"TSMC台積835	TaTb
","黃忠正	HUANG, CHUNG-CHENG
",,科法所優先，第3次選課起開放全校修習,,,,科法所111D  選修	科法所111MA 選修	科法所111MB 選修	
11110LST 525000,民事法專題研究,seminar on civil law,2,,0, ,,中, ,,"TSMC台積832	W3W4
","陳宛妤	CHEN,WAN-YU
",,科法所優先，第3次選課起開放全校修習,,,,科法所111MA 選修	科法所111MB 選修	
11110LST 531000,東亞憲政主義專題研究,Seminar on East Asian Constitutionalism,2,15,0, ,,中, ,,"TSMC台積121	M3M4
","李怡俐	LEE, YI-LI
",,科法所優先，第3次選課起開放全校修習,,,,科法所111MA 選修	
11110LST 531300,公平交易法,Fair Trade Law,2,40,0, ,,中,大學部同學先修科目C-以上被擋修請至課務組網頁下載申請表,,"TSMC台積121	R8R9
","范建得	FAN, CHIEN TE
","<div>
  擋修對象 : 全校 <br>
  先修科目 : <BR><BR>民法債編一-成績需B-以上<BR><br>上述條件一定要有，則不擋修。</div>",科法所優先，第3次選課起開放全校修習,,(跨領域)法律學分學程,,科法所111D  選修	科法所111MA 選修	科法所111MB 選修	
11110LST 531500,生物醫學倫理與刑法專題研究,Seminar in Biomedical Ethics and Criminal Law,2,18,0, ,,中,本課程為16週課程,,"TSMC台積835	M5M6
","廖宜寧	LIAO, I-NING
","<div>
  擋修對象 : 全校 <br>
  先修科目 : <BR><BR>刑法總則-成績需B-以上<BR><br>上述條件一定要有，則不擋修。</div>",科法所優先，第3次選課起開放全校修習,,,,科法所111D  選修	科法所111MA 選修	科法所111MB 選修	
11110LST 531900,國際智慧財產權法,International Intellectual Property Law,2,25,0, ,,英,本課程為16週課程,,"TSMC台積825	T7T8
","洪淳琦	HUNG, CHUN-CHI
",,科法所優先，第3次選課起開放全校修習,,,,科法所111D  選修	科法所111MA 選修	科法所111MB 選修	
11110LST 532300,消費者保護法專題研究,Seminar on Consumer Protection Law,2,18,0, ,,中, ,,"TSMC台積835	T7T8
","靳邦忠	 
",,科法所優先，第3次選課起開放全校修習,,,,科法所111D  選修	科法所111MA 選修	科法所111MB 選修	
11110LST 532400,研究管制法專題研究,Seminar on Legal Regulation of Research,2,18,0, ,,中,本課程為16週課程,,"TSMC台積832	T5T6
","陳仲嶙	CHEN, CHUNG-LIN
",,科法所碩士班博士班優先，第3次選課起開放全校修習,,(跨領域)法律學分學程,,科法所111D  選修	科法所111MA 選修	科法所111MB 選修	
11110LST 533400,能源政策與法律,Energy Policy & Law,2,18,0, ,,中,本課為16週課程,,"TSMC台積835	F1F2
","高銘志	KAO, MING-CHIH
",,科法所優先，第3次選課起開放全校修習,,(跨領域)法律學分學程/(跨領域)永續發展與環境管理學分學程,,科法所111MA 選修	
11110LST 534000,歐盟環境政策與法律,European Environmental Policy and Law,2,18,0, ,,中,本課為16週課程,,"TSMC台積835	F3F4
","高銘志	KAO, MING-CHIH
",,科法所優先，第3次選課起開放全校修習,,(跨領域)法律學分學程,,科法所111MA 選修	
11110LST 540900,生殖科技與法律,Reproductive Technology and the Law,2,18,0, ,,中,HSS性別研究學程,,"TSMC台積832	M5M6
","林昀嫺	LIN, YUN-HSIEN
",,科法所優先，第3次選課起開放全校修習,,(跨領域)法律學分學程,,人社院學士班108BA 選修	人社院學士班108BB 選修	人社院學士班109BA 選修	人社院學士班109BB 選修	科法所111D  選修	科法所111MA 選修	科法所111MB 選修	
11110LST 541200,著作權法,Copyright Law,2,20,0, ,,中,擋修:民法總則- 成績需B-以上；本課程為16週課程,,"TSMC台積835	W5W6
","李紀寬	LI, GI-KUEN
","<div>
  擋修對象 : 全校 <br>
  先修科目 : <BR><BR>民法債編一-成績需B-以上<BR><br>上述條件一定要有，則不擋修。</div>",科法所優先，第3次選課起開放全校修習,,(跨領域)法律學分學程/(跨領域)創新設計學分學程,,科法所111D  選修	科法所111MA 選修	科法所111MB 選修	
11110LST 550200,通訊傳播法理論與實務專題研究,Communications Law: Theory and Practice,3,,0, ,,中, ,,"EDU教  101	W7W8W9
","翁曉玲	WENG, HSIAO-LING
",,,,,,科法所111MA 選修	科法所111MB 選修	
11110LST 550800,資訊安全與網路犯罪,Information Security and Cyber Crime,2,18,0, ,,中, ,,"TSMC台積835	WaWb
","王銘勇	WANG, MING-YUNG
",,,,(跨領域)法律學分學程,,科法所111MA 選修	
11110LST 560700,網際網路與法律,Internet and Law,2,30,0, ,,中, ,,"TSMC台積121	R3R4
","范建得	FAN, CHIEN TE
",,,,(跨領域)法律學分學程,,科法所111D  選修	科法所111MA 選修	
11110LST 561100,科技法律實習, ,2,,0, ,,中, ,,"TSMC台積121	F7F8
","陳碧莉	BIH-LIH CHEN
楊明勳	YANG, MING-HSUN
王鵬瑜	WANG, PENG-YU
",,科法所優先，第3次選課起開放全校修習,,,,科法所111D  選修	科法所111MA 選修	科法所111MB 選修	
11110LST 562800,經濟刑法與刑事法遵,Economic Criminal Law and Criminal Compliance,2,24,0, ,,中, ,,"TSMC台積121	MaMb
","連孟琦	LIEN, MENG-CHI
陳重言	CHEN, CHUNG-YEN
","<div>
  擋修對象 : 全校 <br>
  先修科目 : <BR><BR>刑法總則-成績需B-以上<BR><br>上述條件一定要有，則不擋修。</div>",,,,,科法所111D  選修	科法所111MA 選修	科法所111MB 選修	
11110LST 566600,刑事法專題—科技偵查手段與人權保障,Seminar on Criminal Law – Human Rights and New Technology for Investigation,2,18,0, ,,中, ,,"TSMC台積835	M8M9
","連孟琦	LIEN, MENG-CHI
",,科法所碩士班優先，第3次選課起開放全校修習,,,,科法所111MB 選修	
11110LST 570100,英美契約法,Anglo-American Law of Contracts,2,18,0, ,,中, ,,"TSMC台積825	T5T6
","彭心儀	PENG, SHIN-YI
",,科法所優先，第3次選課起開放全校修習,,(跨領域)法律學分學程,,科法所111MA 選修	
11110LST 570400,侵權行為法,TORT Law,2,18,0, ,,中, ,,"TSMC台積835	T5T6
","黃居正	HUANG, CHU-CHENG
",,科法所優先，第3次選課起開放全校修習,,(跨領域)法律學分學程,,科法所111D  選修	科法所111MA 選修	科法所111MB 選修	
11110LST 570600,國際經貿法,International  Trade Law,2,50,0, ,,中, ,,"TSMC台積121	T3T4
","彭心儀	PENG, SHIN-YI
",,科法所優先，第3次選課起開放全校修習,,(跨領域)法律學分學程,,科法所111MA 選修	科法所111MB 選修	
11110LST 571700,人工智慧法律與政策,Artificial Intelligence：Law & Policy,2,18,0, ,,英, ,,"TSMC台積832	F5F6
","林勤富	LIN, CHING-FU
",,,,(跨領域)創新設計學分學程,,IMBA碩士班111M  選修	科法所111D  選修	
11110LST 780100,論文研究,Thesis,0,,0, ,,中,限科法所博二以上同學修習,,,"指導教授	
",,排除博士班1年級,,,,科法所111D  必修	
11110MATH101001,微積分一(數學系),Calculus (I),4,102,100, ,,中,"演習課時間為M19:00-21:00,地點綜三101,118,119",,"GEN III綜三 101	MaMbMc
GEN III綜三 201	T1T2F1F2
","鄭志豪	TEH JYH HAUR
",,"數學系大學部1年級,理學院學士班大學部1年級優先，第3次選課起開放全校修習",化學(第一專長)	電機工程(第一專長)	電機資訊(第一專長)	工程與系統科學(第一專長)	數學(第一專長),,《不接受加簽 No extra selection》,數學系111BA 必修	數學系111BB 必修	理學院學士班111B  必修	
11110MATH101002,微積分Ａ一,Calculus (I),4,114,110, ,,中,"演習課時間M19:00-21:00，地點工科501,502,503",,"DELTA台達109	T1T2F1F2
","張廷暉	CHANG, TING-HUI
",,工科系大學部1年級優先，第3次選課起開放全校修習,化學(第一專長)	電機工程(第一專長)	電機資訊(第一專長)	工程與系統科學(第一專長)	計量財務金融(第一專長),,《不接受加簽 No extra selection》,工科系111BA 必修	工科系111BB 必修	
11110MATH101003,微積分Ａ一,Calculus (I),4,100,90, ,,中,"含實中科學班,演習課時間M19:00-21:00,地點物124,504",,"MXIC旺宏懷樸	T1T2F1F2
","未定	
",,"原科院學士班大學部1年級,物理系大學部1年級優先，第3次選課起開放全校修習",化學(第一專長)	電機工程(第一專長)	電機資訊(第一專長)	工程與系統科學(第一專長)	物理(第一專長)	計量財務金融(第一專長),,《不接受加簽 No extra selection》,原科院學士班111B  必修	物理系111B A必修	物理系111B B必修	物理系111B C必修	
11110MATH101004,微積分Ａ一,Calculus (I),4,125,110, ,,中,"演習課時間M19:00-21:00,地點化121 ,化二223,醫環110",,"EECS資電 206	T1T2F1F2
","高淑蓉	KAO, SHU-JUNG
",,"醫環系大學部1年級,化學系大學部1年級優先，第3次選課起開放全校修習",化學(第一專長)	電機工程(第一專長)	電機資訊(第一專長)	工程與系統科學(第一專長)	計量財務金融(第一專長),,《不接受加簽 No extra selection》,醫環系111B  必修	化學系111B  必修	
11110MATH101005,微積分Ａ一,Calculus (I),4,100,100, ,,中,"演習課時間為W19:00-21:00,地點為台積203,204,309",,"GEN III綜三 201	M3M4W1W2
","黃明傑	HUANG, MIN-JEI
",,"計財系大學部1年級,科管院學士班大學部1年級優先，第3次選課起開放全校修習",化學(第一專長)	電機資訊(第一專長)	工程與系統科學(第一專長)	計量財務金融(第一專長),,《不接受加簽 No extra selection》,計財系111B  必修	科管院學士班111B  必修	
11110MATH101006,微積分Ａ一,Calculus (I),4,111,100, ,,英,"Recitation courses in DELTA 208,209,210, 7-9 pm every Wed",,"GEN III綜三 101	T3T4R3R4
","朱家杰	CHU, CHIA-CHIEH
",,"電機系大學部1年級,電資院學士班大學部1年級優先，第3次選課起開放全校修習",化學(第一專長)	電機工程(第一專長)	電機資訊(第一專長)	工程與系統科學(第一專長)	計量財務金融(第一專長),,《不接受加簽 No extra selection》,電機系111BA 必修	電機系111BB 必修	電資院學士班111B  必修	
11110MATH101007,微積分Ａ一,Calculus (I),4,96,80, ,,中,"演習課時間W19:00-21:00,地點資電207,208",,"EECS資電 208	T3T4R3R4
","張廷暉	CHANG, TING-HUI
",,"電機系大學部1年級,電資院學士班大學部1年級優先，第3次選課起開放全校修習",化學(第一專長)	電機工程(第一專長)	電機資訊(第一專長)	工程與系統科學(第一專長)	計量財務金融(第一專長),,《不接受加簽 No extra selection》,電機系111BA 必修	電機系111BB 必修	電資院學士班111B  必修	
11110MATH103001,微積分Ｂ一,Calculus I,3,121,110, ,,中,"演習課時間M19:00-21:00地點工一212,213,214",,"ENG I工一 431	T3T4R3
","陳俊成	CHEN, JIUN-CHENG
",,動機系大學部1年級優先，第3次選課起開放全校修習,化學工程(第二專長)	化學工程(第一專長)	資訊工程(第二專長)	資訊工程(第一專長)	醫學科學(第一專長)	經濟(第一專長)	電機資訊(第一專長)	工業工程與工程管理(第一專長)	生命科學(第一專長),(跨領域)音樂科技與健康學分學程,《不接受加簽 No extra selection》,動機系111BA 必修	動機系111BB 必修	
11110MATH103002,微積分Ｂ一,Calculus I,3,130,125, ,,英,"Recitation courses in CHE 209&210&211, 7-9 pm every Tues.",,"CHE化工 B18	T3T4R3R4
","黃皓瑋	HAO-WEI HUANG
",,"化工系大學部1年級,工工系大學部1年級,工學院學士班大學部1年級,材料系大學部1年級優先，第3次選課起開放全校修習",化學工程(第二專長)	化學工程(第一專長)	資訊工程(第二專長)	資訊工程(第一專長)	醫學科學(第一專長)	經濟(第一專長)	電機資訊(第一專長)	工業工程與工程管理(第一專長)	生命科學(第一專長),(跨領域)音樂科技與健康學分學程,《不接受加簽 No extra selection》,化工系111B  必修	工工系111B  必修	工學院學士班111B  必修	材料系111BA 必修	材料系111BB 必修	
11110MATH103003,微積分Ｂ一,Calculus I,3,132,110, ,,中,演習課時間T19:00-21:00，地點為台達B05、B08、B09,,"DELTA台達B03	T3T4R3R4
","未定	
",,"化工系大學部1年級,工工系大學部1年級,工學院學士班大學部1年級,材料系大學部1年級優先，第3次選課起開放全校修習",化學工程(第二專長)	化學工程(第一專長)	資訊工程(第二專長)	資訊工程(第一專長)	醫學科學(第一專長)	經濟(第一專長)	電機資訊(第一專長)	工業工程與工程管理(第一專長)	生命科學(第一專長),(跨領域)音樂科技與健康學分學程,《不接受加簽 No extra selection》,化工系111B  必修	工工系111B  必修	工學院學士班111B  必修	材料系111BA 必修	材料系111BB 必修	
